;Cluster_menor;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
343;C1;Branca;Fundamental;Zero;D1
344;C2;Nao_branca;Fundamental;Zero;E1
346;C1;Branca;Fundamental;Zero;E1
348;C3;Nao_branca;Medio;Zero;E1
349;C3;Nao_branca;Medio;Zero;E1
350;C2;Nao_branca;Fundamental;Zero;E1
351;C3;Nao_branca;Medio;Zero;E1
352;C2;Nao_branca;Fundamental;Zero;E1
353;C1;Branca;Fundamental;Zero;E1
354;C1;Branca;Fundamental;Zero;E1
355;C1;Branca;Fundamental;Zero;E1
356;C2;Nao_branca;Fundamental;Zero;E1
357;C2;Nao_branca;Fundamental;Zero;E1
358;C3;Nao_branca;Medio;Zero;E1
359;C2;Nao_branca;Fundamental;Zero;E1
360;C2;Nao_branca;Fundamental;Zero;E1
361;C4;Nao_branca;Superior;Um;E1
362;C3;Nao_branca;Medio;Zero;E1
363;C3;Nao_branca;Medio;Dois;E1
364;C2;Nao_branca;Fundamental;Zero;E1
365;C4;Nao_branca;Superior;Zero;E1
366;C4;Nao_branca;Superior;Zero;E1
367;C1;Branca;Fundamental;Zero;E1
368;C1;Branca;Fundamental;Zero;E1
369;C3;Nao_branca;Medio;Um;E1
370;C3;Nao_branca;Medio;Zero;E1
371;C3;Nao_branca;Medio;Zero;E1
372;C2;Nao_branca;Fundamental;Zero;E1
374;C4;Nao_branca;Superior;Zero;E1
375;C2;Nao_branca;Fundamental;Zero;E1
376;C2;Nao_branca;Fundamental;Zero;E1
377;C4;Nao declarado;Superior;Um;E1
378;C4;Nao_branca;Superior;Um;C1
380;C4;Nao_branca;Superior;Um;D1
382;C2;Nao_branca;Fundamental;Zero;E1
383;C2;Nao_branca;Fundamental;Zero;E1
384;C2;Nao_branca;Fundamental;Um;E1
385;C1;Branca;Fundamental;Zero;E1
386;C2;Nao_branca;Fundamental;Zero;E1
387;C2;Nao_branca;Fundamental;Um;E1
388;C2;Nao_branca;Fundamental;Zero;E1
389;C2;Nao_branca;Fundamental;Zero;E1
390;C1;Branca;Fundamental;Zero;E1
391;C2;Nao_branca;NuncaEstudou;Um;E1
392;C2;Nao_branca;Fundamental;Zero;E1
393;C4;Nao_branca;Superior;Um;E1
394;C2;Nao_branca;Fundamental;Zero;E1
395;C1;Branca;NuncaEstudou;Zero;E1
397;C1;Nao declarado;Fundamental;Zero;E1
398;C2;Nao_branca;Fundamental;Zero;E1
399;C4;Nao_branca;Superior;Zero;E1
400;C1;Branca;Medio;Zero;E1
401;C2;Nao_branca;Fundamental;Zero;E1
402;C2;Nao_branca;Fundamental;Zero;E1
403;C2;Nao_branca;Fundamental;Zero;E1
405;C2;Nao_branca;Fundamental;Zero;E1
406;C4;Nao_branca;Superior;Um;D1
409;C2;Nao_branca;Fundamental;Zero;E1
410;C2;Nao_branca;Fundamental;Zero;E1
411;C1;Branca;Fundamental;Zero;E1
412;C3;Nao_branca;Medio;Um;E1
413;C1;Branca;Superior;Zero;E1
414;C2;Nao_branca;Fundamental;Zero;E1
416;C1;Branca;Medio;Zero;E1
417;C1;Branca;Medio;Zero;E1
418;C2;Nao_branca;Fundamental;Zero;E1
419;C1;Branca;Fundamental;Zero;E1
420;C2;Nao_branca;Fundamental;Zero;E1
422;C3;Nao_branca;Medio;Zero;D1
423;C1;Branca;Superior;Zero;E1
424;C4;Nao_branca;Superior;Zero;E1
425;C2;Nao_branca;Fundamental;Zero;E1
427;C4;Nao_branca;Superior;Zero;E1
428;C1;Branca;Fundamental;Zero;E1
429;C3;Nao_branca;Medio;Zero;E1
430;C2;Nao_branca;Fundamental;Zero;E1
431;C1;Branca;Fundamental;Zero;E1
432;C1;Branca;Superior;Zero;E1
433;C4;Nao_branca;Superior;Zero;E1
434;C2;Nao_branca;Fundamental;Zero;D1
435;C4;Nao_branca;Superior;Zero;E1
436;C3;Nao_branca;Medio;Um;E1
437;C3;Nao_branca;Medio;Um;E1
438;C2;Nao_branca;Fundamental;Zero;E1
440;C2;Nao_branca;Fundamental;Dois;D1
441;C2;Nao_branca;NuncaEstudou;Zero;E1
442;C2;Nao_branca;Fundamental;Zero;D1
443;C2;Nao_branca;Fundamental;Zero;E1
444;C1;Branca;Fundamental;Zero;E1
446;C4;Nao_branca;Superior;Zero;E1
447;C3;Nao_branca;Medio;Zero;E1
448;C1;Branca;Medio;Um;E1
449;C2;Nao_branca;Fundamental;Zero;E1
450;C1;Nao declarado;Fundamental;Zero;E1
451;C1;Branca;Superior;Zero;E1
452;C2;Nao_branca;Fundamental;Zero;E1
453;C2;Nao_branca;Fundamental;Zero;E1
454;C4;Nao_branca;Superior;Zero;E1
455;C2;Nao_branca;Fundamental;Zero;E1
456;C1;Nao declarado;Fundamental;Zero;E1
457;C1;Branca;Fundamental;Zero;E1
458;C1;Branca;Fundamental;Zero;E1
460;C4;Nao_branca;Superior;Zero;E1
462;C3;Nao_branca;Medio;Zero;E1
463;C3;Nao_branca;Medio;Zero;E1
464;C2;Nao_branca;Fundamental;Zero;E1
465;C2;Nao_branca;Fundamental;Zero;E1
468;C1;Branca;Fundamental;Zero;E1
469;C2;Nao_branca;Fundamental;Zero;E1
471;C2;Nao_branca;Fundamental;Zero;E1
472;C3;Nao_branca;Medio;Zero;E1
473;C2;Nao_branca;Fundamental;Zero;E1
474;C2;Nao_branca;Fundamental;Zero;E1
475;C2;Nao_branca;Fundamental;Zero;E1
476;C3;Nao_branca;Medio;Zero;E1
477;C2;Nao_branca;Fundamental;Zero;E1
478;C1;Branca;Medio;Zero;E1
479;C2;Nao_branca;Fundamental;Zero;E1
480;C2;Nao_branca;Fundamental;Zero;D1
481;C2;Nao_branca;Fundamental;Zero;E1
482;C3;Nao_branca;Medio;Zero;D1
483;C2;Nao_branca;NuncaEstudou;Zero;E1
485;C2;Nao_branca;Fundamental;Zero;E1
486;C4;Nao_branca;Superior;Um;E1
487;C1;Branca;Superior;Um;D1
488;C4;Nao_branca;Superior;Zero;E1
489;C2;Nao_branca;Fundamental;Zero;E1
490;C3;Nao_branca;Medio;Zero;E1
491;C2;Nao_branca;Fundamental;Zero;E1
492;C2;Nao_branca;Fundamental;Zero;E1
493;C1;Branca;NuncaEstudou;Zero;E1
494;C2;Nao_branca;Fundamental;Zero;E1
495;C2;Nao_branca;Fundamental;Zero;D1
496;C3;Nao_branca;Medio;Zero;E1
497;C3;Nao_branca;Medio;Zero;E1
499;C3;Nao_branca;Medio;Um;E1
500;C2;Nao_branca;Fundamental;Zero;E1
501;C4;Nao_branca;Superior;Zero;E1
502;C1;Branca;Medio;Zero;D1
504;C2;Nao_branca;Fundamental;Dois;E1
505;C2;Nao_branca;Fundamental;Um;E1
506;C3;Nao_branca;Medio;Zero;E1
507;C1;Branca;Medio;Zero;E1
508;C2;Nao_branca;Fundamental;Zero;E1
509;C4;Nao_branca;Superior;Zero;E1
510;C2;Nao_branca;Fundamental;Zero;E1
511;C2;Nao_branca;Fundamental;Zero;E1
512;C2;Nao_branca;Fundamental;Zero;E1
513;C2;Nao_branca;Fundamental;Zero;E1
515;C1;Branca;Fundamental;Zero;E1
517;C2;Nao_branca;Fundamental;Zero;E1
519;C2;Nao_branca;Fundamental;Zero;E1
520;C1;Branca;Fundamental;Zero;E1
521;C1;Branca;Fundamental;Zero;E1
522;C4;Nao declarado;Superior;Zero;E1
523;C3;Nao_branca;Medio;Um;E1
524;C2;Nao_branca;Fundamental;Zero;E1
526;C4;Nao_branca;Superior;Zero;E1
528;C2;Nao_branca;Fundamental;Zero;E1
529;C1;Branca;Fundamental;Zero;E1
530;C2;Nao_branca;Fundamental;Zero;E1
532;C2;Nao_branca;Fundamental;Um;E1
533;C2;Nao_branca;Fundamental;Zero;E1
534;C3;Nao_branca;Medio;Zero;E1
535;C1;Branca;Medio;Zero;D1
536;C4;Nao_branca;Superior;Zero;E1
537;C2;Nao_branca;Fundamental;Zero;E1
538;C3;Nao_branca;Medio;Zero;E1
539;C2;Nao_branca;Fundamental;Zero;E1
540;C2;Nao_branca;Fundamental;Zero;E1
541;C1;Branca;Fundamental;Zero;E1
542;C4;Nao declarado;Superior;Zero;E1
543;C2;Nao_branca;Fundamental;Zero;E1
545;C3;Nao declarado;Medio;Dois;E1
547;C4;Nao declarado;Superior;Zero;E1
548;C1;Branca;Fundamental;Um;E1
549;C3;Nao_branca;Medio;Zero;E1
550;C2;Nao_branca;Fundamental;Zero;E1
551;C1;Branca;Medio;Zero;E1
552;C3;Nao_branca;Medio;Zero;E1
553;C2;Nao_branca;Fundamental;Zero;E1
554;C2;Nao_branca;Fundamental;Um;E1
555;C1;Branca;Superior;Um;E1
556;C1;Branca;Fundamental;Zero;E1
558;C1;Branca;Medio;Zero;E1
560;C2;Nao_branca;Fundamental;Zero;E1
561;C2;Nao_branca;Fundamental;Zero;E1
562;C3;Nao_branca;Medio;Um;E1
563;C2;Nao_branca;Fundamental;Zero;E1
564;C2;Nao_branca;Fundamental;Zero;E1
565;C4;Nao_branca;Superior;Um;E1
566;C2;Nao_branca;Fundamental;Zero;E1
567;C4;Nao_branca;Superior;Zero;E1
568;C2;Nao_branca;Fundamental;Zero;E1
569;C1;Nao declarado;Fundamental;Zero;E1
570;C2;Nao_branca;Fundamental;Zero;E1
571;C2;Nao_branca;Fundamental;Zero;D1
572;C2;Nao_branca;Fundamental;Zero;E1
573;C1;Branca;Medio;Zero;D1
574;C2;Nao_branca;Fundamental;Zero;E1
575;C1;Branca;Medio;Um;E1
576;C4;Nao_branca;Superior;Zero;E1
578;C1;Branca;Fundamental;Zero;E1
579;C2;Nao_branca;Fundamental;Zero;E1
580;C3;Nao_branca;Medio;Um;D1
581;C1;Branca;Medio;Um;E1
582;C1;Branca;Fundamental;Um;E1
583;C2;Nao_branca;Fundamental;Zero;E1
584;C4;Nao_branca;Superior;Zero;E1
585;C3;Nao_branca;Medio;Zero;E1
586;C2;Nao_branca;Fundamental;Zero;E1
587;C1;Branca;Fundamental;Zero;E1
588;C2;Nao_branca;Fundamental;Zero;E1
589;C3;Nao_branca;Medio;Zero;E1
590;C3;Nao_branca;Medio;Zero;E1
591;C3;Nao_branca;Medio;Um;E1
592;C2;Nao_branca;Fundamental;Zero;E1
593;C1;Branca;Fundamental;Zero;E1
594;C2;Nao_branca;Fundamental;Zero;E1
595;C3;Nao_branca;Medio;Zero;D1
597;C1;Branca;Fundamental;Zero;E1
598;C2;Nao_branca;Fundamental;Um;E1
599;C1;Branca;Fundamental;Um;E1
600;C2;Nao_branca;Fundamental;Dois;E1
601;C1;Branca;Fundamental;Zero;E1
602;C2;Nao_branca;Fundamental;Um;E1
603;C3;Nao_branca;Medio;Zero;E1
604;C1;Branca;Medio;Zero;E1
605;C1;Branca;Fundamental;Dois;A1
606;C2;Nao_branca;Fundamental;Zero;E1
607;C3;Nao_branca;Medio;Zero;E1
608;C2;Nao_branca;Fundamental;Zero;E1
