;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
399;Branca;Medio;Zero;E
400;Nao_branca;Medio;Zero;E
401;Nao_branca;FundamentalCompleto;Zero;E
402;Nao_branca;FundamentalCompleto;Zero;E
403;Branca;FundamentalIncompleto;Um;E
404;Branca;Medio;Zero;E
405;Nao_branca;Medio;Zero;E
406;Nao_branca;Medio;Um;E
410;Branca;Medio;Um;D
411;Nao_branca;Medio;Um;E
413;Branca;Superior;Um;E
414;Nao_branca;Medio;Zero;E
417;Nao_branca;FundamentalIncompleto;Um;E
418;Nao_branca;Superior;Um;D
419;Nao_branca;FundamentalCompleto;Um;E
421;Branca;Superior;Zero;E
422;Nao_branca;FundamentalIncompleto;Zero;E
423;Nao_branca;FundamentalIncompleto;Zero;E
424;Branca;Superior;Zero;E
426;Nao_branca;Medio;Um;E
427;Nao_branca;FundamentalIncompleto;Zero;E
428;Nao_branca;Medio;Zero;E
429;Nao_branca;FundamentalCompleto;Zero;E
431;Nao_branca;FundamentalIncompleto;Zero;E
432;Branca;Medio;Um;D
433;Nao_branca;NuncaEstudou;Zero;E
434;Branca;Medio;Zero;E
435;Nao_branca;FundamentalCompleto;Zero;E
436;Branca;FundamentalCompleto;Zero;E
437;Nao_branca;Superior;Zero;D
438;Nao_branca;FundamentalCompleto;Um;E
439;Nao_branca;FundamentalIncompleto;Zero;E
440;Branca;FundamentalCompleto;Zero;E
441;Nao_branca;Medio;Um;D
442;Nao_branca;FundamentalCompleto;Zero;E
443;Branca;Medio;Um;E
444;Branca;Medio;Zero;E
445;Nao_branca;Medio;Zero;E
446;Nao_branca;FundamentalIncompleto;Zero;E
447;Nao_branca;Superior;Zero;E
448;Branca;FundamentalIncompleto;Zero;E
449;Branca;FundamentalIncompleto;Zero;E
450;Nao_branca;Medio;Zero;E
451;Nao_branca;Medio;Zero;C
452;Nao_branca;Medio;Zero;E
453;Branca;Superior;Zero;D
454;Nao_branca;Medio;Um;E
455;Nao_branca;FundamentalIncompleto;Zero;E
456;Nao_branca;Medio;Um;E
457;Nao_branca;Superior;Zero;E
458;Nao_branca;FundamentalCompleto;Zero;E
459;Nao_branca;Medio;Zero;E
462;Nao_branca;Medio;Um;E
463;Branca;Medio;Um;E
464;Nao_branca;NuncaEstudou;Zero;E
466;Branca;FundamentalCompleto;Zero;E
468;Nao_branca;FundamentalIncompleto;Um;E
469;Nao_branca;Medio;Zero;E
470;Branca;Superior;Um;C
471;Nao_branca;Medio;Zero;E
472;Nao_branca;Superior;Um;D
473;Branca;FundamentalCompleto;Um;E
474;Nao_branca;Medio;Um;E
475;Nao_branca;FundamentalIncompleto;Um;E
476;Nao_branca;FundamentalIncompleto;Zero;E
478;Nao_branca;Superior;Zero;E
479;Nao_branca;FundamentalIncompleto;Zero;E
480;Nao_branca;FundamentalCompleto;Zero;E
481;Nao_branca;FundamentalIncompleto;Zero;E
482;Branca;FundamentalIncompleto;Zero;D
483;Nao_branca;FundamentalCompleto;Zero;E
484;Branca;Medio;Dois;E
486;Nao_branca;Medio;Zero;E
487;Branca;FundamentalIncompleto;Zero;E
488;Branca;Medio;Zero;E
490;Nao_branca;FundamentalCompleto;Zero;E
492;Nao_branca;Medio;Dois;E
493;Nao_branca;FundamentalCompleto;Zero;E
494;Nao_branca;FundamentalIncompleto;Zero;E
495;Branca;FundamentalCompleto;Um;E
496;Nao_branca;Superior;Zero;E
497;Nao_branca;FundamentalCompleto;Zero;E
498;Nao_branca;Medio;Um;E
499;Nao_branca;FundamentalIncompleto;Zero;E
500;Nao_branca;FundamentalIncompleto;Um;E
501;Nao_branca;FundamentalIncompleto;Um;E
502;Nao_branca;Medio;Zero;E
503;Nao_branca;Medio;Zero;E
507;Nao_branca;Medio;Zero;E
508;Nao_branca;Superior;Um;D
510;Branca;Medio;Zero;E
511;Nao_branca;Medio;Zero;E
512;Nao_branca;Medio;Zero;E
513;Nao_branca;Superior;Zero;E
514;Nao_branca;FundamentalCompleto;Zero;E
515;Branca;Medio;Um;E
516;Nao_branca;FundamentalIncompleto;Zero;E
518;Nao_branca;FundamentalCompleto;Zero;E
521;Nao_branca;Medio;Um;E
523;Nao_branca;FundamentalIncompleto;Zero;E
524;Nao_branca;FundamentalIncompleto;Zero;E
525;Nao_branca;Medio;Zero;E
526;Nao_branca;FundamentalCompleto;Um;E
529;Nao_branca;Medio;Zero;E
530;Nao_branca;Medio;Um;E
531;Nao_branca;FundamentalCompleto;Zero;E
532;Nao_branca;Medio;Zero;E
533;Branca;Medio;Zero;E
535;Nao_branca;FundamentalCompleto;Zero;E
536;Nao_branca;Superior;Zero;E
537;Branca;NuncaEstudou;Zero;E
538;Nao_branca;FundamentalCompleto;Um;E
539;Nao_branca;Medio;Um;E
541;Nao_branca;Superior;Zero;E
542;Nao_branca;Medio;Zero;D
543;Branca;FundamentalIncompleto;Um;E
545;Nao_branca;Medio;Zero;E
548;Nao_branca;FundamentalIncompleto;Zero;E
549;Nao_branca;Medio;Zero;E
550;Nao_branca;Superior;Zero;E
551;Nao_branca;Medio;Zero;D
553;Nao_branca;Superior;Zero;E
555;Nao_branca;Medio;Zero;E
556;Nao_branca;FundamentalIncompleto;Zero;E
557;Branca;Medio;Zero;E
558;Nao_branca;FundamentalIncompleto;Zero;E
559;Nao_branca;Medio;Zero;E
560;Nao_branca;FundamentalIncompleto;Zero;E
561;Nao_branca;FundamentalIncompleto;Zero;E
562;Nao_branca;FundamentalCompleto;Zero;E
563;Nao_branca;FundamentalIncompleto;Zero;E
564;Nao_branca;FundamentalCompleto;Zero;E
565;Nao_branca;Medio;Zero;E
567;Branca;Medio;Zero;E
568;Branca;FundamentalCompleto;Zero;E
569;Nao_branca;FundamentalIncompleto;Um;E
570;Nao_branca;FundamentalCompleto;Zero;E
571;Nao_branca;Superior;Um;D
572;Nao_branca;FundamentalCompleto;Zero;E
573;Nao_branca;Medio;Um;D
574;Nao_branca;FundamentalIncompleto;Zero;E
577;Nao_branca;FundamentalCompleto;Zero;E
579;Nao_branca;FundamentalIncompleto;Um;E
580;Nao_branca;FundamentalCompleto;Zero;E
581;Nao_branca;FundamentalIncompleto;Zero;E
583;Nao declarado;FundamentalIncompleto;Zero;E
584;Nao_branca;FundamentalIncompleto;Zero;E
587;Branca;Medio;Zero;E
590;Nao_branca;FundamentalCompleto;Zero;E
591;Nao_branca;Medio;Zero;E
592;Nao_branca;Superior;Um;D
595;Nao_branca;Medio;Zero;E
596;Nao_branca;FundamentalIncompleto;Zero;E
