;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
632;Branca;Fundamental;1;E1
633;Branca;Fundamental;0;E1
634;Nao_branca;Medio;1;D1
635;Nao_branca;Fundamental;0;E1
636;Nao_branca;Fundamental;1;E1
637;Nao_branca;Fundamental;0;D1
638;Nao_branca;Superior;0;E1
640;Nao_branca;Medio;1;D1
641;Nao_branca;Fundamental;2;D1
643;Nao_branca;Medio;1;D1
644;Nao_branca;Fundamental;0;E1
645;Nao_branca;Fundamental;2;E1
646;Branca;Fundamental;1;E1
647;Nao_branca;Fundamental;1;E1
648;Nao_branca;Superior;1;D1
649;Nao_branca;Superior;1;E1
650;Branca;Fundamental;0;E1
651;Nao_branca;Superior;0;E1
655;Branca;Fundamental;1;E1
656;Branca;Medio;0;E1
657;Nao_branca;Superior;1;C1
658;Branca;Superior;1;D1
660;Nao declarado;Fundamental;1;E1
662;Branca;Medio;1;E1
664;Branca;Superior;1;E1
665;Branca;Medio;1;E1
666;Nao_branca;Fundamental;1;D1
667;Nao_branca;Fundamental;1;D1
668;Nao_branca;Fundamental;1;C1
669;Nao declarado;Fundamental;0;E1
670;Nao_branca;Superior;1;D1
671;Nao_branca;Medio;0;E1
672;Nao_branca;Superior;1;C1
673;Nao_branca;Medio;1;E1
675;Nao_branca;Superior;0;D1
677;Nao_branca;Fundamental;0;E1
678;Nao_branca;Fundamental;1;E1
679;Branca;Medio;1;E1
681;Nao_branca;NuncaEstudou;1;E1
682;Nao_branca;Superior;1;D1
683;Nao_branca;Fundamental;1;E1
684;Nao_branca;Superior;1;E1
685;Nao_branca;Fundamental;1;E1
686;Nao_branca;Fundamental;0;E1
687;Branca;Fundamental;0;D1
688;Nao_branca;Fundamental;1;E1
690;Branca;Fundamental;1;E1
691;Branca;Medio;2;E1
692;Branca;Superior;1;E1
693;Nao_branca;Fundamental;0;E1
695;Nao_branca;Superior;0;D1
696;Nao_branca;Fundamental;0;E1
698;Branca;Medio;1;E1
699;Nao_branca;Medio;1;E1
702;Nao_branca;Medio;1;D1
703;Nao_branca;Fundamental;1;E1
705;Nao_branca;Fundamental;1;E1
707;Branca;Medio;0;E1
708;Branca;Fundamental;0;E1
710;Nao_branca;Fundamental;0;E1
711;Branca;Fundamental;1;E1
712;Nao_branca;Medio;1;E1
713;Nao_branca;Fundamental;1;E1
715;Nao_branca;Superior;1;D1
717;Nao_branca;Superior;0;E1
719;Nao_branca;Fundamental;0;E1
721;Nao_branca;Fundamental;1;E1
723;Nao_branca;Fundamental;1;E1
724;Nao_branca;Medio;1;D1
725;Nao_branca;Fundamental;0;E1
726;Nao_branca;Medio;1;E1
729;Nao_branca;Medio;0;E1
730;Branca;Fundamental;1;E1
731;Nao_branca;Fundamental;0;E1
733;Branca;Fundamental;1;E1
735;Nao_branca;Fundamental;0;E1
736;Nao_branca;Fundamental;1;D1
737;Branca;Fundamental;1;E1
738;Branca;Fundamental;0;E1
741;Nao_branca;Fundamental;2;E1
742;Nao_branca;Medio;1;E1
743;Nao_branca;Medio;1;E1
744;Branca;Fundamental;1;E1
745;Nao_branca;Superior;1;C1
746;Nao_branca;Medio;0;E1
747;Nao_branca;Fundamental;0;E1
748;Nao_branca;Fundamental;0;E1
751;Branca;Fundamental;1;E1
752;Branca;Fundamental;1;E1
753;Nao_branca;Superior;2;C1
755;Branca;Fundamental;1;E1
756;Nao_branca;Medio;1;D1
757;Branca;Superior;2;E1
758;Branca;Medio;0;E1
760;Nao_branca;Superior;1;C1
761;Branca;Superior;0;B1
762;Nao_branca;Fundamental;0;E1
763;Nao_branca;Medio;1;E1
765;Branca;Superior;1;D1
766;Nao_branca;Medio;1;E1
767;Nao_branca;Medio;1;E1
768;Branca;Fundamental;0;E1
769;Branca;Medio;1;D1
770;Branca;Medio;1;D1
771;Nao_branca;Superior;0;E1
772;Nao_branca;Medio;1;D1
773;Nao_branca;Fundamental;1;D1
774;Nao_branca;Medio;0;E1
776;Branca;Medio;0;E1
777;Nao_branca;Fundamental;1;E1
778;Nao_branca;Fundamental;0;D1
779;Nao_branca;Fundamental;0;E1
780;Nao_branca;NuncaEstudou;1;E1
782;Nao_branca;Fundamental;1;E1
783;Nao_branca;Fundamental;2;E1
785;Nao_branca;Medio;1;E1
786;Nao_branca;Superior;0;E1
787;Nao_branca;Fundamental;0;E1
788;Nao_branca;Fundamental;0;E1
790;Branca;Fundamental;1;E1
791;Nao_branca;Fundamental;0;E1
793;Branca;Medio;1;D1
796;Branca;Fundamental;0;D1
797;Nao_branca;Medio;3;B1
798;Branca;Medio;1;D1
802;Nao_branca;Medio;1;C1
803;Nao_branca;Fundamental;0;E1
805;Branca;Medio;1;E1
806;Branca;Fundamental;0;E1
807;Nao_branca;Fundamental;0;D1
808;Branca;Medio;1;D1
809;Nao_branca;Fundamental;1;D1
810;Nao_branca;Fundamental;0;E1
811;Nao_branca;Medio;1;E1
812;Branca;Superior;1;C1
813;Branca;Fundamental;4;C1
815;Nao_branca;Medio;1;E1
817;Branca;Medio;0;D1
818;Nao_branca;Fundamental;1;D1
819;Branca;Fundamental;0;E1
820;Nao_branca;Superior;0;E1
821;Branca;Fundamental;1;E1
824;Nao_branca;Fundamental;1;E1
826;Nao_branca;Medio;1;E1
827;Branca;Medio;1;E1
828;Nao_branca;Medio;1;E1
829;Branca;Medio;0;D1
830;Nao_branca;Fundamental;0;D1
834;Nao_branca;Fundamental;1;E1
835;Nao declarado;Medio;0;D1
836;Nao_branca;Fundamental;0;E1
837;Nao_branca;Fundamental;0;E1
838;Nao_branca;Fundamental;0;E1
839;Nao_branca;Fundamental;0;E1
841;Nao_branca;Fundamental;0;E1
843;Branca;Fundamental;0;E1
844;Branca;Superior;1;E1
845;Nao_branca;Fundamental;0;E1
846;Nao_branca;Fundamental;1;E1
847;Nao_branca;Fundamental;0;D1
848;Nao_branca;Fundamental;0;E1
849;Nao_branca;Fundamental;1;E1
850;Nao_branca;Medio;1;E1
851;Branca;Medio;1;C1
852;Branca;Medio;1;E1
853;Nao_branca;Medio;1;E1
854;Nao_branca;Fundamental;0;D1
855;Nao_branca;Fundamental;1;E1
856;Nao_branca;Fundamental;0;E1
857;Nao_branca;Medio;1;D1
858;Nao declarado;Fundamental;1;C1
859;Nao_branca;Fundamental;0;E1
860;Branca;Superior;1;D1
861;Nao_branca;Fundamental;2;D1
862;Nao_branca;Medio;1;E1
863;Branca;Medio;0;D1
864;Branca;Medio;1;D1
865;Branca;Fundamental;1;E1
866;Nao_branca;Medio;0;E1
867;Nao declarado;Medio;1;D1
869;Nao_branca;Medio;1;E1
870;Branca;Fundamental;0;E1
871;Branca;Superior;2;C1
872;Branca;Medio;0;E1
874;Nao_branca;Fundamental;1;D1
875;Nao_branca;Fundamental;1;E1
876;Nao_branca;Medio;1;C1
877;Nao_branca;Fundamental;1;E1
878;Branca;Medio;1;D1
879;Branca;Medio;1;E1
880;Nao_branca;Medio;2;E1
882;Branca;Medio;1;D1
883;Branca;Medio;1;E1
884;Branca;Fundamental;0;E1
886;Nao_branca;Superior;1;C1
887;Nao_branca;Superior;1;E1
889;Nao_branca;Medio;0;E1
890;Nao_branca;Medio;2;D1
891;Branca;Fundamental;0;E1
892;Branca;Medio;0;E1
895;Nao_branca;Fundamental;0;E1
896;Nao_branca;Medio;1;E1
898;Nao_branca;Medio;0;E1
899;Branca;Medio;1;E1
900;Branca;Medio;0;E1
901;Nao_branca;Fundamental;0;E1
902;Branca;Medio;0;D1
903;Branca;Superior;1;D1
905;Nao_branca;Medio;1;D1
906;Nao_branca;Medio;0;E1
907;Nao_branca;Fundamental;1;E1
908;Branca;Medio;1;E1
909;Nao_branca;Medio;1;D1
910;Nao_branca;Fundamental;1;D1
912;Nao_branca;Fundamental;0;E1
913;Nao_branca;Medio;1;E1
914;Nao_branca;Superior;1;E1
916;Nao_branca;Medio;0;E1
918;Nao_branca;Fundamental;1;C1
919;Branca;Superior;1;D1
921;Branca;Fundamental;1;E1
923;Nao_branca;Fundamental;0;E1
926;Nao_branca;Fundamental;1;D1
927;Nao_branca;Fundamental;0;E1
929;Branca;Superior;1;D1
930;Nao_branca;Fundamental;0;E1
931;Branca;Fundamental;0;E1
932;Nao_branca;Medio;1;D1
933;Nao_branca;Medio;0;E1
934;Nao_branca;Superior;1;D1
935;Nao_branca;Medio;0;E1
936;Nao_branca;Superior;1;E1
937;Nao_branca;Superior;1;D1
938;Nao_branca;Fundamental;1;E1
939;Nao_branca;NuncaEstudou;1;E1
940;Nao_branca;Fundamental;1;E1
941;Nao_branca;Medio;1;E1
943;Nao_branca;Superior;1;D1
944;Branca;Superior;1;D1
946;Branca;Medio;0;E1
947;Branca;Medio;0;D1
948;Nao_branca;Superior;1;D1
949;Branca;Superior;0;E1
950;Nao_branca;Medio;1;E1
957;Branca;Fundamental;1;E1
958;Nao_branca;Medio;0;D1
959;Branca;Medio;1;D1
960;Nao_branca;Superior;1;C1
962;Branca;Fundamental;0;E1
963;Nao_branca;Fundamental;1;E1
964;Nao_branca;Fundamental;0;E1
965;Nao_branca;Medio;1;C1
966;Nao_branca;Fundamental;0;E1
967;Nao_branca;Fundamental;0;E1
968;Branca;Medio;1;E1
969;Nao_branca;Fundamental;0;E1
971;Nao_branca;Fundamental;0;D1
974;Nao_branca;Fundamental;2;C1
977;Nao_branca;Superior;1;D1
978;Branca;Fundamental;0;E1
979;Nao_branca;Fundamental;1;E1
980;Nao_branca;Medio;1;E1
982;Branca;Fundamental;1;E1
984;Nao_branca;Fundamental;1;E1
985;Nao_branca;Medio;0;E1
986;Nao_branca;Fundamental;1;E1
987;Nao_branca;Fundamental;1;E1
989;Nao_branca;Fundamental;1;D1
990;Nao_branca;Fundamental;1;E1
991;Nao_branca;Fundamental;2;E1
992;Nao_branca;Fundamental;0;E1
993;Nao_branca;Fundamental;0;E1
994;Nao_branca;Fundamental;1;E1
995;Nao_branca;Fundamental;1;D1
997;Nao_branca;Fundamental;1;E1
999;Nao_branca;Fundamental;0;E1
1000;Nao_branca;Superior;1;D1
1001;Nao_branca;Fundamental;0;E1
1002;Branca;Superior;1;D1
1003;Nao_branca;Fundamental;0;E1
1004;Nao_branca;Fundamental;1;D1
1005;Branca;Medio;1;E1
1006;Nao_branca;Fundamental;1;D1
1007;Nao declarado;Fundamental;0;E1
1008;Nao_branca;Medio;1;E1
1009;Branca;Fundamental;0;C1
1011;Branca;Superior;2;D1
1012;Nao_branca;Medio;1;E1
1013;Nao_branca;Fundamental;1;D1
1015;Nao_branca;Fundamental;1;E1
1016;Branca;Fundamental;0;E1
1017;Nao_branca;Fundamental;1;E1
1019;Nao_branca;Medio;1;E1
1021;Nao_branca;Fundamental;1;E1
1022;Branca;Fundamental;0;E1
1023;Branca;Fundamental;0;C1
1025;Branca;Fundamental;1;D1
1026;Nao_branca;Medio;1;C1
1029;Nao_branca;Fundamental;0;E1
1030;Nao_branca;Fundamental;1;E1
1031;Nao_branca;Fundamental;0;E1
1032;Nao_branca;Superior;1;E1
1033;Nao_branca;Medio;2;E1
1034;Nao_branca;Fundamental;1;E1
1035;Nao_branca;Superior;1;D1
1036;Nao_branca;Superior;0;E1
1037;Nao_branca;Medio;0;E1
1039;Nao_branca;Medio;1;D1
1042;Branca;Fundamental;2;D1
1045;Nao_branca;Medio;1;E1
1047;Nao_branca;Medio;1;D1
1048;Branca;Superior;1;E1
