;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
1326;Nao_branca;FundamentalCompleto;Um;E
1333;Branca;Medio;Um;E
1336;Nao_branca;Medio;Um;E
1339;Nao_branca;Medio;Um;E
1341;Nao_branca;Medio;Um;D
1345;Nao_branca;FundamentalIncompleto;Um;E
1346;Nao_branca;FundamentalCompleto;Zero;E
1353;Nao_branca;FundamentalCompleto;Zero;E
1354;Nao_branca;FundamentalIncompleto;Zero;E
1359;Nao_branca;Medio;Um;E
1360;Nao_branca;FundamentalIncompleto;Zero;E
1362;Nao_branca;Medio;Tres;C
1365;Nao_branca;Medio;Um;E
1366;Branca;FundamentalIncompleto;Zero;E
1367;Branca;Medio;Um;B
1368;Nao_branca;Superior;Um;D
1370;Nao_branca;Medio;Um;D
1372;Nao_branca;Superior;Zero;C
1373;Nao_branca;FundamentalCompleto;Zero;D
1374;Nao_branca;Superior;Um;D
1375;Nao_branca;Medio;Um;D
1377;Branca;FundamentalCompleto;Dois;D
1378;Nao_branca;Medio;Um;E
1381;Nao_branca;Medio;Dois;E
1384;Nao_branca;Medio;Um;D
1385;Branca;Medio;Zero;E
1387;Nao_branca;FundamentalIncompleto;Zero;E
1388;Branca;Medio;Zero;E
1390;Nao_branca;Medio;Um;D
1393;Nao_branca;FundamentalIncompleto;Um;E
1394;Nao_branca;Superior;Dois;E
1397;Nao_branca;FundamentalIncompleto;Zero;E
1398;Nao_branca;FundamentalCompleto;Um;D
1403;Branca;Medio;Um;D
1405;Nao_branca;FundamentalIncompleto;Zero;E
1406;Nao_branca;Medio;Um;E
1408;Nao_branca;FundamentalIncompleto;Um;E
1412;Branca;Medio;Dois;C
1413;Branca;Medio;Um;E
1414;Nao declarado;FundamentalIncompleto;Um;D
1415;Nao_branca;FundamentalCompleto;Zero;E
1416;Nao_branca;FundamentalCompleto;Dois;D
1418;Branca;FundamentalIncompleto;Zero;E
1419;Branca;Medio;Zero;D
1420;Nao_branca;Medio;Um;D
1421;Branca;Medio;Dois;D
1424;Branca;FundamentalIncompleto;Um;E
1425;Nao_branca;FundamentalIncompleto;Zero;D
1427;Nao_branca;FundamentalCompleto;Um;E
1430;Branca;Medio;Dois;C
1434;Nao_branca;Superior;Um;E
1440;Nao_branca;FundamentalIncompleto;Um;D
1444;Nao_branca;Medio;Um;D
1445;Nao_branca;FundamentalIncompleto;Um;E
1448;Nao_branca;FundamentalCompleto;Um;D
1454;Nao_branca;Superior;Um;D
1459;Branca;Medio;Um;E
1461;Branca;FundamentalIncompleto;Zero;E
1462;Branca;FundamentalCompleto;Um;E
1466;Nao_branca;Superior;Tres;B
1475;Branca;FundamentalIncompleto;Zero;E
1476;Nao_branca;FundamentalCompleto;Um;D
1478;Nao declarado;Superior;Um;D
1480;Branca;Superior;Um;E
1483;Nao_branca;FundamentalIncompleto;Zero;E
1485;Nao_branca;FundamentalIncompleto;Um;E
1486;Branca;Superior;Dois;E
1488;Nao_branca;Medio;Um;E
1491;Nao_branca;Superior;Um;D
1493;Branca;FundamentalIncompleto;Um;D
1497;Branca;Medio;Um;D
1498;Branca;Superior;Um;E
1499;Nao_branca;FundamentalIncompleto;Zero;E
