ID_MATRICULA;IN_TRANSPORTE_PUBLICO;TP_ETAPA_ENSINO;IN_REGULAR;IN_EJA;CO_ENTIDADE;CO_MUNICIPIO
383572924;0.0;2.0;1.0;0.0;31304981;3138609
383573063;0.0;2.0;1.0;0.0;31304981;3138609
383573424;0.0;2.0;1.0;0.0;31304981;3138609
383574309;0.0;2.0;1.0;0.0;31304981;3138609
383575351;0.0;14.0;1.0;0.0;31304981;3138609
383576001;0.0;14.0;1.0;0.0;31304981;3138609
383576174;0.0;14.0;1.0;0.0;31304981;3138609
383576448;0.0;14.0;1.0;0.0;31304981;3138609
383577731;0.0;14.0;1.0;0.0;31304981;3138609
383578299;0.0;14.0;1.0;0.0;31304981;3138609
383579588;0.0;14.0;1.0;0.0;31304981;3138609
383580381;0.0;14.0;1.0;0.0;31304981;3138609
383580852;0.0;14.0;1.0;0.0;31304981;3138609
383581036;0.0;14.0;1.0;0.0;31304981;3138609
383581398;0.0;14.0;1.0;0.0;31304981;3138609
383583060;0.0;14.0;1.0;0.0;31304981;3138609
383604097;0.0;15.0;1.0;0.0;31304981;3138609
383605602;0.0;15.0;1.0;0.0;31304981;3138609
383605667;0.0;15.0;1.0;0.0;31304981;3138609
383607831;0.0;15.0;1.0;0.0;31304981;3138609
383608558;0.0;15.0;1.0;0.0;31304981;3138609
383610822;0.0;15.0;1.0;0.0;31304981;3138609
383611235;0.0;15.0;1.0;0.0;31304981;3138609
383611490;0.0;15.0;1.0;0.0;31304981;3138609
383611864;0.0;15.0;1.0;0.0;31304981;3138609
383612962;0.0;15.0;1.0;0.0;31304981;3138609
383613217;0.0;15.0;1.0;0.0;31304981;3138609
383614171;0.0;15.0;1.0;0.0;31304981;3138609
383614560;0.0;15.0;1.0;0.0;31304981;3138609
383615106;0.0;15.0;1.0;0.0;31304981;3138609
383616756;0.0;15.0;1.0;0.0;31304981;3138609
383616937;0.0;15.0;1.0;0.0;31304981;3138609
383618018;0.0;15.0;1.0;0.0;31304981;3138609
383619396;0.0;15.0;1.0;0.0;31304981;3138609
383632575;0.0;16.0;1.0;0.0;31304981;3138609
383633821;0.0;16.0;1.0;0.0;31304981;3138609
383635279;0.0;16.0;1.0;0.0;31304981;3138609
383635775;0.0;16.0;1.0;0.0;31304981;3138609
383635950;0.0;16.0;1.0;0.0;31304981;3138609
383636834;0.0;16.0;1.0;0.0;31304981;3138609
383637344;0.0;16.0;1.0;0.0;31304981;3138609
383637785;0.0;16.0;1.0;0.0;31304981;3138609
383638533;0.0;16.0;1.0;0.0;31304981;3138609
383638906;0.0;16.0;1.0;0.0;31304981;3138609
383639369;0.0;16.0;1.0;0.0;31304981;3138609
383640120;0.0;16.0;1.0;0.0;31304981;3138609
383642120;0.0;16.0;1.0;0.0;31304981;3138609
383645227;0.0;16.0;1.0;0.0;31304981;3138609
383645750;0.0;16.0;1.0;0.0;31304981;3138609
383646000;0.0;16.0;1.0;0.0;31304981;3138609
383647734;0.0;16.0;1.0;0.0;31304981;3138609
383648231;0.0;16.0;1.0;0.0;31304981;3138609
383648515;0.0;16.0;1.0;0.0;31304981;3138609
383649583;0.0;17.0;1.0;0.0;31304981;3138609
383651377;0.0;17.0;1.0;0.0;31304981;3138609
383652727;0.0;17.0;1.0;0.0;31304981;3138609
383652912;0.0;17.0;1.0;0.0;31304981;3138609
383653182;0.0;17.0;1.0;0.0;31304981;3138609
383654535;0.0;17.0;1.0;0.0;31304981;3138609
383654710;0.0;17.0;1.0;0.0;31304981;3138609
383655023;0.0;17.0;1.0;0.0;31304981;3138609
383655956;0.0;17.0;1.0;0.0;31304981;3138609
383656141;0.0;17.0;1.0;0.0;31304981;3138609
383657140;0.0;17.0;1.0;0.0;31304981;3138609
384113466;0.0;14.0;1.0;0.0;31069078;3138609
384114472;1.0;14.0;1.0;0.0;31069078;3138609
384115886;0.0;14.0;1.0;0.0;31069078;3138609
384116135;0.0;14.0;1.0;0.0;31069078;3138609
384116331;0.0;14.0;1.0;0.0;31069078;3138609
384116611;0.0;14.0;1.0;0.0;31069078;3138609
384117487;0.0;14.0;1.0;0.0;31069078;3138609
384117634;0.0;14.0;1.0;0.0;31069078;3138609
384118983;0.0;14.0;1.0;0.0;31069078;3138609
384120103;0.0;14.0;1.0;0.0;31069078;3138609
384120997;0.0;14.0;1.0;0.0;31069078;3138609
384122500;1.0;14.0;1.0;0.0;31069078;3138609
384123460;0.0;14.0;1.0;0.0;31069078;3138609
384123803;0.0;14.0;1.0;0.0;31069078;3138609
384124398;0.0;14.0;1.0;0.0;31069078;3138609
384124640;0.0;14.0;1.0;0.0;31069078;3138609
384125554;0.0;14.0;1.0;0.0;31069078;3138609
384127760;0.0;14.0;1.0;0.0;31069078;3138609
384128259;0.0;14.0;1.0;0.0;31069078;3138609
384128460;0.0;14.0;1.0;0.0;31069078;3138609
384130511;0.0;14.0;1.0;0.0;31069078;3138609
384132023;1.0;14.0;1.0;0.0;31069078;3138609
384132758;0.0;14.0;1.0;0.0;31069078;3138609
384134070;1.0;14.0;1.0;0.0;31069078;3138609
384134639;0.0;14.0;1.0;0.0;31069078;3138609
384164262;1.0;15.0;1.0;0.0;31069078;3138609
384165400;1.0;15.0;1.0;0.0;31069078;3138609
384167017;0.0;15.0;1.0;0.0;31069078;3138609
384167984;0.0;15.0;1.0;0.0;31069078;3138609
384169288;0.0;15.0;1.0;0.0;31069078;3138609
384169969;1.0;15.0;1.0;0.0;31069078;3138609
384171296;1.0;15.0;1.0;0.0;31069078;3138609
384173604;1.0;15.0;1.0;0.0;31069078;3138609
384174595;0.0;15.0;1.0;0.0;31069078;3138609
384174745;0.0;15.0;1.0;0.0;31069078;3138609
384175096;0.0;15.0;1.0;0.0;31069078;3138609
384176280;0.0;15.0;1.0;0.0;31069078;3138609
384177189;0.0;15.0;1.0;0.0;31069078;3138609
384177420;0.0;15.0;1.0;0.0;31069078;3138609
384179712;0.0;15.0;1.0;0.0;31069078;3138609
384179954;0.0;15.0;1.0;0.0;31069078;3138609
384180969;1.0;15.0;1.0;0.0;31069078;3138609
384182336;1.0;15.0;1.0;0.0;31069078;3138609
384182758;0.0;15.0;1.0;0.0;31069078;3138609
384183559;0.0;15.0;1.0;0.0;31069078;3138609
384185402;0.0;15.0;1.0;0.0;31069078;3138609
384185819;0.0;15.0;1.0;0.0;31069078;3138609
384188932;1.0;15.0;1.0;0.0;31069078;3138609
384190093;0.0;15.0;1.0;0.0;31069078;3138609
384190759;1.0;15.0;1.0;0.0;31069078;3138609
384191225;1.0;15.0;1.0;0.0;31069078;3138609
384192776;0.0;15.0;1.0;0.0;31069078;3138609
384210207;0.0;16.0;1.0;0.0;31069078;3138609
384210490;0.0;16.0;1.0;0.0;31069078;3138609
384211576;0.0;16.0;1.0;0.0;31069078;3138609
384213628;1.0;16.0;1.0;0.0;31069078;3138609
384214777;0.0;16.0;1.0;0.0;31069078;3138609
384215069;0.0;16.0;1.0;0.0;31069078;3138609
384216717;1.0;16.0;1.0;0.0;31069078;3138609
384217049;1.0;16.0;1.0;0.0;31069078;3138609
384217562;1.0;16.0;1.0;0.0;31069078;3138609
384217869;1.0;16.0;1.0;0.0;31069078;3138609
384218436;1.0;16.0;1.0;0.0;31069078;3138609
384220520;0.0;16.0;1.0;0.0;31069078;3138609
384220932;0.0;16.0;1.0;0.0;31069078;3138609
384222247;1.0;16.0;1.0;0.0;31069078;3138609
384223208;1.0;16.0;1.0;0.0;31069078;3138609
384224157;1.0;16.0;1.0;0.0;31069078;3138609
384225051;1.0;16.0;1.0;0.0;31069078;3138609
384225320;1.0;16.0;1.0;0.0;31069078;3138609
