;Unnamed: 0;NU_INSCRICAO;TP_SEXO;TP_COR_RACA;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;NO_MUNICIPIO_PROVA;CO_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_LINGUA;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
8841;1244241;210053244625;M;3;2;0;2;1.0;0;2108900.0;PoÃ§Ã£o de Pedras;MA;2.0;1.0;1.0;EsperantinÃ³polis;21;1;1;1;1;559.4;540.3;479.2;725.8;0;1.0;160.0;200.0;180.0;180.0;200.0;920.0;H;H;F;F;5.0;G;A;C;C;A;B;B;B;B;A;A;A;A;B;A;B;D;A;A;B
8842;1244355;210054145003;F;3;2;0;2;1.0;0;2102002.0;Bom Jardim;MA;2.0;1.0;1.0;Bom Jardim;21;1;1;1;1;419.2;478.6;472.8;465.4;1;1.0;120.0;140.0;120.0;140.0;100.0;620.0;E;F;B;A;4.0;B;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;D;A;A;B
8843;1244712;210052978130;M;2;2;0;2;1.0;0;2102325.0;Buriticupu;MA;2.0;1.0;1.0;Buriticupu;21;1;1;1;1;410.2;396.8;417.3;392.9;0;1.0;80.0;120.0;100.0;120.0;0.0;420.0;A;C;A;A;6.0;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;A;A;A;A
8844;1244719;210053984510;M;2;2;0;2;1.0;0;2103703.0;Cururupu;MA;2.0;1.0;1.0;Cururupu;21;1;1;1;1;441.7;473.7;413.4;463.3;1;1.0;120.0;120.0;120.0;140.0;80.0;580.0;D;D;A;C;5.0;A;A;B;D;A;A;B;A;A;A;A;A;A;B;A;A;E;A;A;B
8845;1244848;210051423749;M;2;2;0;2;1.0;0;2111409.0;SÃ£o LuÃ­s Gonzaga do MaranhÃ£o;MA;2.0;1.0;1.0;Bacabal;21;1;1;1;1;412.5;328.9;366.8;460.6;1;1.0;80.0;120.0;80.0;80.0;20.0;380.0;B;B;A;A;3.0;B;A;A;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
8847;1244981;210054409792;M;3;2;0;2;1.0;0;2107506.0;PaÃ§o do Lumiar;MA;2.0;1.0;1.0;PaÃ§o do Lumiar;21;1;1;1;1;436.2;477.4;440.3;375.6;1;1.0;80.0;120.0;120.0;120.0;140.0;580.0;D;E;C;B;4.0;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
8849;1245285;210054205630;F;3;2;0;2;1.0;0;2101509.0;BarÃ£o de GrajaÃº;MA;2.0;1.0;1.0;BarÃ£o de GrajaÃº;21;1;1;1;1;387.7;485.9;363.9;365.2;1;1.0;80.0;100.0;80.0;80.0;60.0;400.0;H;D;C;B;6.0;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A
8850;1245477;210053557831;F;1;2;0;2;1.0;0;2103307.0;CodÃ³;MA;2.0;1.0;1.0;CodÃ³;21;1;1;1;1;436.4;456.7;442.9;458.9;1;1.0;100.0;120.0;120.0;120.0;80.0;540.0;C;A;B;B;3.0;A;A;C;D;A;A;B;A;B;A;A;A;A;B;B;A;B;A;A;B
8853;1245683;210051579088;M;3;2;0;2;1.0;0;2107506.0;PaÃ§o do Lumiar;MA;2.0;1.0;1.0;SÃ£o JosÃ© de Ribamar;21;1;1;1;1;524.8;503.4;501.7;479.7;1;1.0;120.0;180.0;120.0;120.0;120.0;660.0;F;G;C;D;4.0;I;A;C;D;C;B;B;A;B;A;B;A;B;C;A;A;E;A;C;B
8854;1245772;210053974424;M;1;2;0;2;1.0;0;2103000.0;Caxias;MA;2.0;1.0;1.0;Caxias;21;1;1;1;1;560.5;514.5;493.5;423.7;0;1.0;120.0;200.0;120.0;120.0;160.0;720.0;F;F;E;B;3.0;C;A;C;C;A;A;B;B;A;A;A;A;A;B;A;A;D;A;B;B
8855;1245829;210054413653;F;3;2;0;2;1.0;0;2103000.0;Caxias;MA;2.0;1.0;1.0;Caxias;21;1;1;1;1;354.1;478.7;399.4;483.5;1;1.0;80.0;120.0;120.0;80.0;60.0;460.0;A;A;A;B;2.0;C;A;B;C;A;A;B;B;A;A;A;A;A;B;B;A;A;A;A;B
8856;1245918;210053544540;M;1;2;0;2;1.0;0;2105302.0;Imperatriz;MA;2.0;1.0;1.0;Imperatriz;21;1;1;1;1;552.3;503.1;552.7;677.5;0;1.0;120.0;180.0;120.0;120.0;160.0;700.0;G;F;E;B;4.0;F;A;D;E;B;A;B;B;B;A;A;A;A;B;A;A;E;B;B;B
8857;1246058;210052919959;F;3;2;0;2;1.0;0;2104800.0;GrajaÃº;MA;2.0;1.0;1.0;GrajaÃº;21;1;1;1;1;471.5;391.2;533.6;563.3;0;1.0;120.0;100.0;80.0;120.0;120.0;540.0;D;E;D;D;5.0;E;A;C;D;B;A;B;A;B;A;B;A;A;C;A;B;D;A;B;B
8858;1246558;210054409770;M;1;2;0;2;1.0;0;2111300.0;SÃ£o LuÃ­s;MA;4.0;1.0;1.0;SÃ£o LuÃ­s;21;1;1;1;1;514.0;583.2;590.5;701.6;1;1.0;140.0;200.0;140.0;120.0;140.0;740.0;F;G;E;D;4.0;I;A;E;D;B;A;B;A;B;A;A;A;A;B;A;B;E;A;B;B
8859;1246562;210051735602;M;3;2;0;2;1.0;0;2109908.0;Santa InÃªs;MA;1.0;1.0;1.0;Santa InÃªs;21;1;1;1;1;545.2;567.4;541.9;501.3;0;1.0;120.0;120.0;140.0;140.0;80.0;600.0;E;E;B;B;5.0;E;A;B;C;B;A;B;A;A;A;A;A;A;C;A;A;D;A;A;B
8860;1246592;210051672830;F;3;2;0;2;1.0;0;2110005.0;Santa Luzia;MA;2.0;1.0;1.0;Santa Luzia;21;1;1;1;1;473.0;369.3;340.7;396.4;1;1.0;80.0;160.0;120.0;140.0;60.0;560.0;B;B;A;A;4.0;B;A;B;B;A;B;B;B;A;A;A;A;A;B;A;A;B;A;A;B
8861;1246595;210053581290;F;3;2;0;2;1.0;0;2102556.0;Campestre do MaranhÃ£o;MA;2.0;1.0;1.0;Porto Franco;21;1;1;1;1;496.2;557.9;520.6;500.9;0;1.0;120.0;200.0;120.0;140.0;120.0;700.0;H;C;A;A;3.0;C;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
