;Unnamed: 0;NU_INSCRICAO;TP_SEXO;TP_COR_RACA;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;NO_MUNICIPIO_PROVA;CO_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_LINGUA;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
13793;2747175;200005018453;M;3;2;0;2;1.0;0;2110708.0;SÃ£o Domingos do MaranhÃ£o;MA;2.0;1.0;1.0;SÃ£o Domingos do MaranhÃ£o;21;1;1;1;1;379.2;426.2;452.8;368.0;1;1.0;100.0;100.0;80.0;80.0;80.0;440.0;C;C;A;A;5.0;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
13795;2747577;200002035800;F;1;2;0;2;1.0;0;2101202.0;Bacabal;MA;2.0;1.0;1.0;Bacabal;21;1;1;1;1;399.5;541.0;572.1;456.4;1;1.0;140.0;200.0;180.0;200.0;140.0;860.0;F;D;D;B;4.0;B;A;C;C;A;A;B;A;A;A;A;A;A;B;A;A;D;A;A;B
13798;2748101;200005118479;M;3;2;0;2;1.0;0;2101400.0;Balsas;MA;4.0;1.0;1.0;Balsas;21;1;1;1;1;527.8;595.2;494.1;585.8;1;1.0;140.0;180.0;140.0;140.0;120.0;720.0;G;E;D;B;4.0;H;A;C;C;B;B;B;A;B;A;B;A;A;B;A;A;D;A;B;B
13799;2748123;200002332964;F;3;2;0;2;1.0;0;2107506.0;PaÃ§o do Lumiar;MA;2.0;1.0;1.0;PaÃ§o do Lumiar;21;1;1;1;1;457.2;554.3;538.4;412.9;0;1.0;120.0;40.0;40.0;120.0;40.0;360.0;D;C;A;B;4.0;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
13800;2748466;200002684863;M;1;2;0;3;1.0;0;2111300.0;SÃ£o LuÃ­s;MA;4.0;1.0;1.0;SÃ£o LuÃ­s;21;1;1;1;1;584.3;614.6;605.8;717.9;0;1.0;140.0;120.0;160.0;140.0;180.0;740.0;F;G;E;E;3.0;J;A;D;D;B;A;B;B;B;A;B;A;A;E;A;B;C;B;B;B
13803;2749682;200006667127;F;1;2;0;2;1.0;0;2103505.0;Colinas;MA;2.0;1.0;1.0;Colinas;21;1;1;1;1;372.4;343.7;392.4;470.4;1;1.0;120.0;40.0;40.0;120.0;40.0;360.0;F;C;D;A;3.0;D;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
13804;2750094;200002670321;F;3;2;0;3;1.0;0;2109007.0;Porto Franco;MA;4.0;1.0;1.0;TocantinÃ³polis;17;1;1;1;1;530.9;608.4;569.7;668.0;1;1.0;160.0;120.0;160.0;160.0;180.0;780.0;G;G;E;E;6.0;N;D;D;D;C;A;B;A;B;A;A;A;B;C;A;B;D;B;C;B
13805;2750096;200002531766;F;3;2;0;2;1.0;0;2102325.0;Buriticupu;MA;2.0;1.0;1.0;Buriticupu;21;1;1;1;1;495.3;390.2;422.2;461.8;0;1.0;100.0;120.0;100.0;80.0;120.0;520.0;B;D;A;A;4.0;A;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
13806;2750509;200003952849;M;1;2;0;2;1.0;0;2102325.0;Buriticupu;MA;1.0;1.0;1.0;Buriticupu;21;1;1;1;1;551.3;616.0;571.9;407.7;1;1.0;120.0;120.0;120.0;120.0;80.0;560.0;C;G;A;D;5.0;B;A;B;D;A;C;B;A;B;A;A;A;A;B;A;A;E;A;B;B
13807;2750611;200003638606;F;1;2;0;3;1.0;0;2101202.0;Bacabal;MA;4.0;1.0;1.0;Bacabal;21;1;1;1;1;480.7;498.8;532.0;486.0;1;1.0;140.0;120.0;120.0;160.0;120.0;660.0;E;E;C;B;4.0;C;A;B;D;A;B;B;B;B;A;A;A;A;B;A;A;D;A;A;B
