;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
402;Nao_branca;Superior;0;E
403;Nao_branca;Superior;1;E
404;Branca;Fundamental;1;E
409;Branca;Medio;2;C
410;Branca;Superior;1;B
411;Nao_branca;Medio;0;E
412;Branca;Superior;1;D
415;Nao_branca;Medio;1;E
417;Branca;Medio;0;E
418;Nao_branca;Medio;1;E
419;Branca;Superior;0;E
420;Nao_branca;Superior;1;E
421;Nao_branca;Medio;1;D
422;Nao_branca;Medio;0;E
423;Nao_branca;Medio;0;E
424;Branca;Superior;1;E
425;Nao_branca;Fundamental;1;E
427;Nao_branca;Fundamental;1;E
428;Branca;Medio;1;E
429;Branca;Fundamental;1;E
430;Branca;Medio;1;E
432;Branca;Medio;2;E
434;Nao_branca;Medio;1;E
435;Nao_branca;Fundamental;0;E
438;Branca;Superior;2;C
440;Nao_branca;Medio;0;E
441;Nao_branca;Superior;0;D
442;Nao_branca;Medio;0;E
444;Branca;Superior;2;C
445;Branca;Medio;0;E
450;Nao_branca;Fundamental;0;E
451;Nao_branca;Medio;1;E
452;Nao_branca;Fundamental;0;E
453;Nao_branca;Medio;0;E
456;Branca;Superior;3;B
457;Nao_branca;Superior;0;C
459;Branca;Medio;2;B
461;Branca;Medio;2;C
463;Branca;Fundamental;1;E
466;Branca;Superior;1;D
468;Nao_branca;Fundamental;0;E
469;Branca;Medio;0;D
471;Nao_branca;Fundamental;0;E
472;Nao_branca;Fundamental;0;E
473;Nao_branca;Superior;1;C
475;Nao_branca;Medio;1;E
477;Nao_branca;Medio;0;E
479;Nao_branca;Medio;0;E
480;Branca;Medio;1;D
484;Branca;Superior;2;D
485;Nao_branca;Superior;3;C
486;Branca;Superior;2;D
490;Nao_branca;Superior;1;D
493;Branca;Fundamental;0;E
494;Nao_branca;Medio;1;E
496;Nao_branca;Medio;0;E
497;Branca;Fundamental;1;D
498;Nao_branca;Medio;1;D
500;Nao_branca;Fundamental;0;E
503;Nao_branca;Medio;0;D
504;Branca;Superior;1;E
505;Nao_branca;Superior;2;B
507;Nao_branca;Fundamental;0;E
510;Branca;Medio;0;E
511;Branca;Medio;2;D
512;Branca;Superior;2;E
516;Nao_branca;Superior;1;E
517;Nao_branca;Medio;1;D
518;Branca;Medio;1;E
519;Branca;Fundamental;1;D
522;Nao_branca;Superior;0;C
523;Nao_branca;Fundamental;0;E
524;Branca;NuncaEstudou;0;E
526;Nao_branca;Fundamental;0;E
527;Nao_branca;Fundamental;1;E
530;Branca;Fundamental;1;E
531;Nao_branca;Medio;1;E
532;Nao_branca;Superior;0;E
533;Branca;Superior;1;D
535;Nao_branca;Fundamental;0;E
537;Nao_branca;Superior;0;E
540;Nao_branca;Medio;1;E
542;Branca;Fundamental;1;E
543;Branca;Fundamental;1;E
546;Nao_branca;Fundamental;0;E
547;Nao_branca;Medio;0;E
549;Nao_branca;Fundamental;0;E
550;Nao_branca;Superior;2;D
553;Nao_branca;Fundamental;0;E
555;Nao_branca;Superior;1;C
556;Nao_branca;Superior;2;B
557;Nao_branca;Medio;0;E
559;Branca;Medio;0;E
560;Nao_branca;Superior;1;C
563;Nao_branca;Medio;1;E
566;Branca;Medio;1;D
567;Nao_branca;Fundamental;0;E
568;Nao_branca;Fundamental;2;E
571;Branca;Fundamental;1;E
572;Branca;Medio;1;D
573;Nao_branca;Medio;0;E
574;Nao_branca;Fundamental;1;E
576;Branca;Superior;1;C
578;Branca;Medio;1;D
579;Nao_branca;Medio;1;E
580;Nao_branca;Medio;1;E
582;Nao_branca;Medio;1;D
587;Nao_branca;Fundamental;1;E
590;Nao_branca;Superior;0;D
591;Nao_branca;Fundamental;2;E
592;Branca;Medio;2;E
593;Branca;Superior;1;E
594;Nao_branca;Fundamental;0;E
595;Nao_branca;Superior;2;C
598;Branca;Medio;2;C
599;Nao_branca;Medio;1;E
600;Branca;Superior;1;E
601;Branca;Medio;0;E
603;Branca;Medio;1;E
605;Branca;Medio;1;E
606;Nao_branca;Fundamental;0;E
607;Nao_branca;Fundamental;1;D
610;Nao_branca;Medio;0;E
612;Nao_branca;Medio;1;C
613;Nao_branca;Fundamental;1;E
617;Nao_branca;Fundamental;0;E
620;Branca;Medio;1;D
622;Branca;Medio;1;E
625;Nao_branca;Medio;0;E
627;Branca;Medio;0;E
628;Nao_branca;Medio;1;C
