;Cluster_menor;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
305;C1;Branca;Fundamental;1;C1
306;C3;Branca;Fundamental;0;E1
307;C3;Branca;Fundamental;0;E1
308;C1;Branca;Superior;3;C1
310;C2;Nao_branca;Superior;0;D1
311;C3;Nao_branca;Medio;0;E1
312;C3;Nao_branca;Fundamental;0;E1
313;C1;Branca;Medio;4;C1
314;C2;Nao_branca;Superior;1;D1
315;C1;Nao_branca;Medio;1;C1
317;C1;Nao_branca;Medio;2;C1
319;C2;Nao_branca;Medio;2;D1
322;C3;Nao_branca;Fundamental;0;E1
325;C1;Branca;Fundamental;1;E1
328;C3;Nao_branca;Superior;0;E1
329;C1;Branca;Fundamental;1;E1
330;C3;Branca;Fundamental;0;E1
333;C1;Branca;Superior;1;E1
334;C3;Nao_branca;Fundamental;1;E1
337;C3;Nao_branca;Fundamental;1;E1
338;C1;Branca;Fundamental;1;D1
339;C3;Nao_branca;Medio;0;E1
340;C1;Nao_branca;Medio;1;E1
341;C3;Nao_branca;Medio;0;E1
342;C3;Nao_branca;Fundamental;0;E1
343;C1;Branca;Medio;2;C1
344;C3;Branca;Fundamental;0;E1
345;C3;Nao_branca;Superior;0;E1
346;C3;Nao_branca;Fundamental;0;E1
348;C3;Nao_branca;Fundamental;1;E1
349;C1;Nao_branca;Medio;1;E1
350;C1;Branca;Superior;2;E1
351;C2;Nao_branca;Superior;2;C1
353;C1;Branca;Superior;0;E1
354;C1;Branca;Medio;1;E1
355;C1;Nao_branca;Medio;1;E1
356;C3;Nao_branca;Fundamental;1;E1
357;C1;Nao_branca;Medio;3;E1
361;C2;Nao_branca;Superior;1;E1
362;C1;Branca;Superior;0;E1
363;C2;Nao_branca;Superior;0;D1
364;C3;Branca;Fundamental;0;E1
366;C1;Nao_branca;Medio;1;E1
367;C3;Nao_branca;Medio;0;E1
368;C1;Branca;Fundamental;1;D1
370;C1;Branca;Fundamental;1;E1
373;C3;Nao_branca;Medio;0;E1
374;C1;Branca;NuncaEstudou;2;E1
375;C1;Branca;Fundamental;1;E1
376;C2;Nao_branca;Medio;0;D1
377;C2;Branca;Superior;1;D1
378;C3;Nao_branca;Medio;0;E1
379;C3;Branca;Fundamental;0;D1
380;C1;Branca;Superior;2;C1
381;C1;Nao_branca;Medio;1;E1
382;C3;Nao_branca;Fundamental;0;E1
383;C1;Branca;Superior;1;E1
384;C3;Nao_branca;Fundamental;0;D1
389;C1;Branca;Medio;2;C1
391;C3;Nao_branca;Fundamental;0;E1
392;C2;Nao_branca;Fundamental;1;D1
393;C1;Branca;Fundamental;1;D1
395;C2;Nao_branca;Fundamental;1;D1
396;C3;Nao_branca;Medio;0;E1
397;C3;Nao_branca;NuncaEstudou;0;E1
399;C2;Branca;Superior;1;D1
400;C3;Nao_branca;Fundamental;0;E1
401;C3;Nao_branca;Fundamental;0;E1
402;C1;Nao_branca;Medio;1;B1
405;C3;Nao_branca;Fundamental;1;E1
407;C3;Nao_branca;Medio;0;E1
409;C3;Nao_branca;Fundamental;0;E1
412;C3;Nao_branca;Medio;0;E1
413;C3;Nao_branca;Medio;0;E1
415;C1;Branca;Medio;1;D1
417;C3;Nao_branca;Fundamental;0;D1
418;C1;Branca;Fundamental;1;E1
419;C1;Branca;Medio;1;E1
420;C3;Nao_branca;Fundamental;0;E1
421;C3;Nao_branca;Fundamental;0;E1
422;C1;Branca;Fundamental;2;C1
423;C3;Nao_branca;Fundamental;0;D1
424;C3;Nao_branca;Fundamental;0;E1
426;C1;Nao_branca;Medio;1;E1
427;C3;Nao_branca;Medio;0;E1
429;C2;Nao_branca;Superior;1;E1
430;C3;Nao_branca;Medio;0;E1
431;C1;Branca;Fundamental;2;D1
432;C1;Branca;Fundamental;1;E1
433;C1;Branca;Superior;1;E1
434;C1;Branca;Fundamental;3;C1
436;C1;Branca;Fundamental;1;D1
437;C2;Nao_branca;Superior;1;E1
439;C2;Branca;Superior;2;D1
440;C3;Nao_branca;Medio;0;E1
442;C3;Branca;Fundamental;0;E1
444;C3;Nao_branca;Fundamental;1;E1
445;C3;Nao_branca;Fundamental;1;E1
448;C3;Nao_branca;Fundamental;0;E1
449;C2;Nao_branca;Fundamental;1;D1
450;C1;Branca;Fundamental;1;E1
451;C3;Nao_branca;Fundamental;0;E1
452;C1;Branca;Fundamental;1;D1
453;C3;Nao_branca;Fundamental;1;E1
454;C3;Nao_branca;Fundamental;0;E1
456;C3;Nao_branca;Fundamental;0;E1
458;C1;Branca;Medio;1;E1
459;C2;Nao_branca;Superior;1;E1
460;C2;Nao_branca;Medio;1;D1
461;C3;Nao_branca;Medio;0;E1
462;C3;Nao_branca;Fundamental;0;E1
464;C3;Nao_branca;Fundamental;0;E1
465;C1;Branca;Fundamental;1;E1
467;C3;Branca;Fundamental;0;E1
469;C3;Branca;Fundamental;0;D1
470;C3;Branca;Fundamental;0;D1
471;C2;Nao_branca;Superior;0;D1
473;C1;Nao_branca;Medio;1;E1
474;C2;Nao_branca;Medio;1;D1
475;C3;Branca;Fundamental;0;E1
476;C3;Nao_branca;Medio;0;E1
480;C3;Nao_branca;Fundamental;0;E1
481;C3;Nao_branca;Fundamental;0;E1
482;C3;Nao_branca;Superior;0;E1
483;C3;Nao_branca;Fundamental;0;E1
484;C3;Nao_branca;Medio;0;E1
485;C2;Nao_branca;Medio;1;D1
486;C1;Branca;Medio;0;E1
487;C2;Nao_branca;Fundamental;1;D1
488;C3;Nao_branca;Fundamental;1;E1
489;C1;Branca;Fundamental;1;E1
492;C1;Nao_branca;Medio;1;C1
493;C1;Branca;Medio;1;D1
494;C3;Nao_branca;Fundamental;1;E1
495;C3;Nao_branca;Fundamental;0;E1
497;C2;Nao_branca;Superior;1;E1
499;C3;Branca;Fundamental;0;E1
500;C3;Nao_branca;Fundamental;0;E1
502;C3;Nao_branca;Medio;0;E1
503;C1;Nao_branca;Medio;1;E1
505;C1;Nao_branca;Medio;1;E1
506;C1;Nao_branca;Medio;1;E1
507;C1;Nao_branca;Medio;1;C1
508;C2;Nao_branca;Medio;0;D1
509;C2;Nao_branca;Superior;0;C1
511;C1;Nao_branca;Medio;1;E1
512;C2;Nao_branca;Superior;0;C1
513;C3;Branca;Fundamental;0;D1
514;C3;Nao_branca;Medio;0;E1
515;C3;Nao_branca;NuncaEstudou;0;E1
516;C2;Nao_branca;Superior;0;D1
517;C1;Branca;Medio;0;D1
518;C3;Nao_branca;Medio;0;E1
519;C2;Nao_branca;Fundamental;1;D1
520;C3;Nao_branca;Medio;0;E1
522;C2;Nao_branca;Medio;1;D1
523;C3;Nao_branca;Fundamental;0;E1
524;C2;Nao_branca;Medio;1;D1
